age,gender,height,weight
18393,2,168,62
20228,1,156,85
18857,1,165,64
17623,2,169,82
17474,1,156,56
21914,1,151,67
22113,1,157,93
22584,2,178,95
17668,1,158,71
19834,1,164,68
22530,1,169,80
18815,2,173,60
14791,2,165,60
19809,1,158,78
14532,2,181,95
16782,2,172,112
21296,1,170,75
16747,1,158,52
17482,1,154,68
21755,2,162,56
19778,2,163,83
21413,1,157,69
23046,1,158,90
23376,2,156,45
16608,1,170,68
14453,1,153,65
19559,1,156,59
18085,1,159,78
14574,2,166,66
21057,2,169,74
18291,1,155,105
23186,1,169,71
14605,1,159,60
20652,1,160,73
21940,2,173,82
20404,1,163,55
18328,2,175,95
17976,1,164,70
23388,2,162,72
18126,1,165,70
19848,1,157,62
18274,1,178,68
21475,2,171,69
20556,2,159,63
19764,1,154,50
17471,1,162,64
18207,1,162,107
18535,2,168,69
16864,2,175,70
16045,1,170,69
18238,1,160,75
18338,1,169,84
19575,2,166,85
14507,1,165,77
19679,1,152,79
21787,2,165,73
17407,1,171,76
22748,1,165,90
15901,2,172,84
20431,1,164,64
19105,1,159,58
20960,2,165,75
20330,2,187,115
22587,1,170,85
20649,2,169,71
21752,1,148,80
19148,2,170,69
22099,2,171,97
19739,1,152,76
20882,1,157,53
23589,1,155,57
21874,2,179,95
23433,1,156,58
21934,1,157,77
16039,2,180,90
20484,1,158,75
20397,2,188,105
21865,1,160,68
18241,1,173,82
20370,2,164,74
16591,1,159,49
19029,1,155,64
19642,1,158,75
19570,1,152,110
22636,1,178,93
18352,1,156,55
21909,1,156,75
19663,2,166,94
23204,1,151,92
19480,2,172,87
23230,1,160,82
19557,1,164,103
18752,2,173,76
22821,2,168,80
15946,2,185,88
21076,1,158,53
19258,2,165,65
18410,1,165,99
21860,2,170,100
17363,1,167,71
14684,2,171,61
18718,1,167,80
17015,1,168,77
18128,2,183,95
21903,1,170,72
20627,2,168,78
14448,2,162,60
14499,2,164,48
15440,2,174,54
16066,1,157,51
23296,2,168,75
21140,2,159,78
16633,1,158,78
18938,1,157,79
22055,1,167,84
21900,2,160,57
19109,2,180,84
19782,1,160,90
14321,2,173,75
18170,1,156,63
21605,1,156,71
19507,2,174,77
18247,1,170,70
14493,1,167,66
21758,1,165,65
19656,2,153,47
21145,1,170,66
21865,1,152,67
22111,1,176,74
18276,1,159,84
21987,2,169,59
20442,2,170,65
22585,2,164,84
21259,2,160,57
21473,2,174,90
20393,1,161,67
17213,1,153,50
22536,2,184,82
16889,1,156,60
18283,1,170,60
19529,1,158,55
22019,1,165,55
23376,2,169,73
21857,2,169,58
16728,2,178,91
18461,1,152,57
18068,1,160,90
23470,2,166,69
20395,1,164,70
17473,1,162,71
16017,2,167,82
21695,1,160,67
20533,2,169,79
20465,2,168,72
18912,1,167,80
18860,1,168,62
22428,1,159,73
19792,2,169,87
16028,1,157,69
17939,1,154,67
23117,2,180,104
15885,1,165,66
18293,1,158,72
17539,1,153,73
20533,2,171,70
21135,1,148,53
19570,1,170,68
15268,1,160,60
22650,1,165,70
20603,1,170,70
22620,1,165,68
21191,1,153,78
16771,1,169,64
21137,2,172,94
19769,1,180,70
16748,1,158,58
16621,1,177,81
21848,2,170,69
18915,1,170,60
18859,2,171,98
18949,1,153,63
21712,2,165,65
22671,2,174,74
23312,1,148,50
23225,1,155,74
21305,2,157,51
19631,2,169,55
19081,2,175,53
22527,1,165,67
14557,2,182,75
18987,2,169,68
15326,1,172,55
21166,2,162,59
14638,2,185,94
21989,1,162,62
19635,2,174,88
22675,1,176,108
21796,2,171,71
15212,2,183,85
18825,1,170,67
20578,1,165,70
19802,1,158,58
14624,1,167,79
23109,2,166,63
18901,1,157,55
17325,1,168,65
17548,2,156,60
21086,1,161,68
15954,2,183,92
18169,2,172,62
21014,2,169,75
18347,1,159,57
22570,1,162,105
19085,1,154,64
16739,2,170,95
21381,2,173,73
18807,1,160,88
23341,2,167,68
18839,1,158,70
21179,1,164,67
19675,1,164,57
17591,1,157,70
19829,1,158,83
15296,1,165,70
21800,2,76,55
17471,1,156,65
15825,2,166,70
14373,1,168,68
17489,2,183,98
20259,2,169,65
23376,2,175,75
19545,2,168,72
18444,2,173,75
20490,2,185,81
21377,1,149,60
20421,2,170,68
23444,1,158,69
17326,2,180,90
16799,1,153,60
22573,1,170,65
21971,2,170,82
21932,2,157,60
18825,2,179,79
16060,1,154,56
17460,2,162,66
18943,1,161,85
14684,2,172,73
21681,1,160,63
21727,2,158,53
18220,1,142,61
17679,2,160,89
19089,1,159,79
21127,1,175,70
23250,1,156,93
14543,1,168,69
22141,1,172,87
21751,1,158,78
21363,1,170,90
22764,1,161,72
18772,1,165,100
18217,1,150,83
21059,1,154,98
21897,1,160,55
19788,1,165,80
21896,1,154,54
20225,1,150,67
20285,1,153,49
17460,1,165,115
19715,1,160,89
22031,2,170,69
16117,2,168,84
16468,1,149,50
22585,1,166,58
16003,1,162,74
19216,2,178,78
19644,1,157,80
23372,1,169,68
22068,1,169,70
15229,1,150,55
21711,2,159,85
20383,1,152,72
20509,1,160,76
18784,1,159,95
21833,2,176,82
21274,1,155,65
20705,2,163,68
22510,2,170,115
20311,1,159,101
21974,1,163,65
21257,1,149,56
18936,1,154,62
20310,1,159,79
21233,1,157,63
21187,1,152,54
18067,1,158,56
16646,2,170,76
20948,2,169,76
22415,2,173,70
18189,1,160,70
23357,2,173,85
19074,2,167,72
21809,1,178,80
23335,2,160,52
18291,2,171,74
17426,2,185,105
23613,2,181,99
22577,1,157,100
17512,2,160,60
17976,1,166,78
19470,1,162,87
17622,1,166,105
16596,1,169,69
14683,1,161,75
21197,2,167,92
21245,1,165,65
20593,1,156,50
19070,1,158,73
21411,1,170,68
19766,2,170,101
19532,1,164,80
18341,1,159,51
14421,1,165,62
18391,1,170,65
18293,1,165,90
16711,2,172,86
19767,1,167,74
19004,2,174,63
22583,2,170,66
20649,1,154,78
23407,1,176,63
16299,2,160,58
16069,2,160,85
21168,2,160,68
20595,1,160,60
15222,2,169,86
20531,1,162,57
21417,1,173,99
20597,1,160,70
21078,1,157,142
22007,1,159,97
14767,1,170,68
21234,2,182,91
17021,1,165,70
19780,1,172,104
15186,1,170,81
18704,1,154,81
18115,2,175,89
20398,2,173,86
21776,2,174,84
22742,1,154,75
16778,1,175,80
23392,1,153,69
15253,2,175,85
16021,1,156,60
20235,2,169,70
23094,1,158,73
22655,2,166,78
21862,1,163,69
20585,1,165,65
18731,2,173,96
19803,1,144,44
23282,2,170,84
16209,2,168,72
23444,1,175,76
18996,1,167,69
19047,2,169,87
18458,1,166,71
22641,1,160,83
14631,2,166,90
19574,1,160,58
19758,1,160,74
16664,2,173,93
15215,2,172,71
19834,1,158,68
17740,1,158,74
15383,2,170,69
16845,2,160,60
22705,1,158,84
16320,2,168,75
19038,1,163,67
19549,1,152,60
21760,1,164,55
19590,1,148,61
19517,1,147,41
22531,2,164,81
15912,2,171,74
23529,1,167,78
21085,1,162,74
20943,2,158,52
16718,2,165,169
16772,1,170,116
18178,1,144,59
21151,2,175,65
18282,1,163,108
16939,1,162,89
23661,2,160,78
22493,1,164,75
21257,1,164,86
14492,1,163,82
22148,1,156,68
18188,1,150,62
18397,1,175,75
15136,1,164,75
21203,1,156,88
23451,1,158,71
19122,1,157,94
20004,1,155,69
23262,2,162,70
18350,1,168,70
18135,1,163,75
21742,1,163,70
20295,1,164,50
21788,1,153,77
22906,1,156,55
21281,1,156,95
21952,2,170,78
21364,1,161,72
17300,1,158,70
16658,1,157,72
20248,1,164,86
20314,1,160,73
22691,1,159,86
19789,1,162,93
21894,1,157,86
23203,1,165,64
22577,2,182,91
17505,1,158,80
21726,1,160,55
16667,1,158,53
18187,1,156,74
20608,1,165,69
17432,2,164,78
17425,1,165,47
23324,1,160,62
18106,2,176,95
16765,1,186,200
19011,1,158,65
20954,2,180,84
21865,1,156,82
20255,2,179,65
19046,1,163,58
22620,1,147,66
18978,2,175,86
17423,1,162,84
16657,1,167,74
