gender,height,weight
2,168,62
1,156,85
1,165,64
2,169,82
1,156,56
1,151,67
1,157,93
2,178,95
1,158,71
1,164,68
1,169,80
2,173,60
2,165,60
1,158,78
2,181,95
2,172,112
1,170,75
1,158,52
1,154,68
2,162,56
2,163,83
1,157,69
1,158,90
2,156,45
1,170,68
1,153,65
1,156,59
1,159,78
2,166,66
2,169,74
1,155,105
1,169,71
1,159,60
1,160,73
2,173,82
1,163,55
2,175,95
1,164,70
2,162,72
1,165,70
1,157,62
1,178,68
2,171,69
2,159,63
1,154,50
1,162,64
1,162,107
2,168,69
2,175,70
1,170,69
1,160,75
1,169,84
2,166,85
1,165,77
1,152,79
2,165,73
1,171,76
1,165,90
2,172,84
1,164,64
1,159,58
2,165,75
2,187,115
1,170,85
2,169,71
1,148,80
2,170,69
2,171,97
1,152,76
1,157,53
1,155,57
2,179,95
1,156,58
1,157,77
2,180,90
1,158,75
2,188,105
1,160,68
1,173,82
2,164,74
1,159,49
1,155,64
1,158,75
1,152,110
1,178,93
1,156,55
1,156,75
2,166,94
1,151,92
2,172,87
1,160,82
1,164,103
2,173,76
2,168,80
2,185,88
1,158,53
2,165,65
1,165,99
2,170,100
1,167,71
2,171,61
1,167,80
1,168,77
2,183,95
1,170,72
2,168,78
2,162,60
2,164,48
2,174,54
1,157,51
2,168,75
2,159,78
1,158,78
1,157,79
1,167,84
2,160,57
2,180,84
1,160,90
2,173,75
1,156,63
1,156,71
2,174,77
1,170,70
1,167,66
1,165,65
2,153,47
1,170,66
1,152,67
1,176,74
1,159,84
2,169,59
2,170,65
2,164,84
2,160,57
2,174,90
1,161,67
1,153,50
2,184,82
1,156,60
1,170,60
1,158,55
1,165,55
2,169,73
2,169,58
2,178,91
1,152,57
1,160,90
2,166,69
1,164,70
1,162,71
2,167,82
1,160,67
2,169,79
2,168,72
1,167,80
1,168,62
1,159,73
2,169,87
1,157,69
1,154,67
2,180,104
1,165,66
1,158,72
1,153,73
2,171,70
1,148,53
1,170,68
1,160,60
1,165,70
1,170,70
1,165,68
1,153,78
1,169,64
2,172,94
1,180,70
1,158,58
1,177,81
2,170,69
1,170,60
2,171,98
1,153,63
2,165,65
2,174,74
1,148,50
1,155,74
2,157,51
2,169,55
2,175,53
1,165,67
2,182,75
2,169,68
1,172,55
2,162,59
2,185,94
1,162,62
2,174,88
1,176,108
2,171,71
2,183,85
1,170,67
1,165,70
1,158,58
1,167,79
2,166,63
1,157,55
1,168,65
2,156,60
1,161,68
2,183,92
2,172,62
2,169,75
1,159,57
1,162,105
1,154,64
2,170,95
2,173,73
1,160,88
2,167,68
1,158,70
1,164,67
1,164,57
1,157,70
1,158,83
